DISTRICT,ALL RESIDEnCE,RURAL,URBAn,,,,,,
Kenema City,200 443,97 818,102 625,-,-,-,200 443,97 818,102 625
KONO,506 100,252 751,253 349,381 438,190 614,190 824,124 662,62 137,62 525
Fiama,15 455,7 563,7 892,15 455,7 563,7 892,-,-,-
Gbane,24 404,12 155,12 249,24 404,12 155,12 249,-,-,-
Gbane Kandor,11 903,5 662,6 241,11 903,5 662,6 241,-,-,-
Gbense,15 864,7 854,8 010,15 864,7 854,8 010,-,-,-
Gorama Kono,18 294,9 240,9 054,18 294,9 240,9 054,-,-,-
Kamara,19 412,10 218,9 194,19 412,10 218,9 194,-,-,-
Lei,26 966,13 012,13 954,26 966,13 012,13 954,-,-,-
Mafindor,13 703,6 687,7 016,13 703,6 687,7 016,-,-,-
Nimikoro,61 225,31 918,29 307,61 225,31 918,29 307,-,-,-
Nimiyama,28 168,14 505,13 663,28 168,14 505,13 663,-,-,-
Sandor,89 879,44 249,45 630,89 879,44 249,45 630,-,-,-
Soa,39 250,19 087,20 163,39 250,19 087,20 163,-,-,-
Tankoro,8 501,4 333,4 168,8 501,4 333,4 168,-,-,-
Toli,5 046,2 410,2 636,5 046,2 410,2 636,-,-,-
Koidu/New,128 030,63 858,64 172,3 368,1 721,1 647,124 662,62 137,62 525
NORTHERN,2 508 201,1 224 828,1 283 373,1 893 227,922 650,970 577,614 974,302 178,312 796
BOMBALI,606 544,296 683,309 861,433 486,211 169,222 317,173 058,85 514,87 544
Biriwa,47 305,22 720,24 585,47 305,22 720,24 585,-,-,-
Bombali Sebora,36 413,17 785,18 628,36 413,17 785,18 628,-,-,-
Gbanti-Kamaranka,28 491,14 011,14 480,28 491,14 011,14 480,-,-,-
Gbendembu Ngowahun,38 800,18 498,20 302,34 543,16 483,18 060,4 257,2 015,2 242
Libeisaygahun,16 199,7 798,8 401,16 199,7 798,8 401,-,-,-
Magbaimba Ndorhahun,12 688,6 347,6 341,12 688,6 347,6 341,-,-,-
Makari Gbanti,81 345,39 798,41 547,52 140,25 177,26 963,29 205,14 621,14 584
Paki Masabong,19 880,9 487,10 393,19 880,9 487,10 393,-,-,-
Safroko Limba,31 256,14 683,16 573,31 256,14 683,16 573,-,-,-
Sanda Loko,45 075,22 274,22 801,45 075,22 274,22 801,-,-,-
Sanda Tendaren,26 228,13 178,13 050,26 228,13 178,13 050,-,-,-
Sella Limba,58 401,28 497,29 904,43 439,21 113,22 326,14 962,7 384,7 578
Tambakka,38 493,19 468,19 025,38 493,19 468,19 025,-,-,-
Makeni City,125 970,62 139,63 831,1 336,645,691,124 634,61 494,63 140
KAMBIA,345 474,165 541,179 933,244 630,116 820,127 810,100 844,48 721,52 123
Bramaia,36 764,17 365,19 399,26 642,12 501,14 141,10 122,4 864,5 258
Gbinle-Dixing,23 433,11 140,12 293,23 433,11 140,12 293,-,-,-
Magbema,92 165,44 339,47 826,28 931,13 754,15 177,63 234,30 585,32 649
Mambolo,37 952,17 911,20 041,29 640,14 068,15 572,8 312,3 843,4 469
Masungbala,31 797,14 793,17 004,31 797,14 793,17 004,-,-,-
Samu,64 790,31 004,33 786,53 233,25 516,27 717,11 557,5 488,6 069
Tonko Limba,58 573,28 989,29 584,50 954,25 048,25 906,7 619,3 941,3 678
KOINADUGU,409 372,204 498,204 874,335 847,167 869,167 978,73 525,36 629,36 896
Dembelia Sinkunia,21 449,10 879,10 570,21 449,10 879,10 570,-,-,-
Diang,29 063,14 699,14 364,26 602,13 398,13 204,2 461,1 301,1 160
Follosaba Dembelia,20 919,10 450,10 469,17 598,8 797,8 801,3 321,1 653,1 668
Kasunko,24 796,11 734,13 062,22 002,10 381,11 621,2 794,1 353,1 441
Mongo,47 836,23 553,24 283,45 006,22 161,22 845,2 830,1 392,1 438
Neya,42 704,21 741,20 963,39 564,20 176,19 388,3 140,1 565,1 575
Nieni,78 199,38 813,39 386,59 421,29 561,29 860,18 778,9 252,9 526
Sengbe,38 016,18 625,19 391,24 915,11 807,13 108,13 101,6 818,6 283
Sulima,35 639,18 686,16 953,35 639,18 686,16 953,-,-,-
Wara Wara Bafodia,34 606,17 320,17 286,28 257,14 256,14 001,6 349,3 064,3 285
Wara Wara Yagala,36 145,17 998,18 147,15 394,7 767,7 627,20 751,10 231,10 520
PORT LOKO,615 376,294 954,320 422,455 159,216 731,238 428,160 217,78 223,81 994
BKM,40 179,19 179,21 000,40 179,19 179,21 000,-,-,-
Buya Romende,34 281,16 083,18 198,31 139,14 641,16 498,3 142,1 442,1 700
Dibia,15 519,7 252,8 267,15 519,7 252,8 267,-,-,-
Kaffu Bullom,120 490,59 160,61 330,45 026,21 986,23 040,75 464,37 174,38 290
Koya,85 177,40 119,45 058,76 861,36 282,40 579,8 316,3 837,4 479
Lokomasama,78 276,37 331,40 945,72 685,34 458,38 227,5 591,2 873,2 718
Maforki,86 764,41 416,45 348,53 223,25 147,28 076,33 541,16 269,17 272
Marampa,59 323,28 737,30 586,25 160,12 109,13 051,34 163,16 628,17 535
Masimera,40 843,19 324,21 519,40 843,19 324,21 519,-,-,-
Sanda Magbolontor,23 731,11 161,12 570,23 731,11 161,12 570,-,-,-
TMS,30 793,15 192,15 601,30 793,15 192,15 601,-,-,-
TONKOLILI,531 435,263 152,268 283,424 105,210 061,214 044,107 330,53 091,54 239
Gbonkolenken,67 705,33 497,34 208,59 837,29 437,30 400,7 868,4 060,3 808
Kafe Simira,36 670,18 467,18 203,29 258,14 754,14 504,7 412,3 713,3 699
Kalansogoia,35 864,17 976,17 888,23 582,11 765,11 817,12 282,6 211,6 071
Kholifa Mabang,16 666,7 996,8 670,16 666,7 996,8 670,-,-,-
Kolifa Rowalla,66 128,32 821,33 307,42 992,21 543,21 449,23 136,11 278,11 858
Kunike Barina,25 245,13 166,12 079,22 770,11 965,10 805,2 475,1 201,1 274
Kunike Sanda,74 415,37 519,36 896,59 408,29 896,29 512,15 007,7 623,7 384
Malal Mara,30 953,15 091,15 862,30 953,15 091,15 862,-,-,-
Sambaya,31 993,15 690,16 303,25 854,12 744,13 110,6 139,2 946,3 193
Tane,33 285,16 309,16 976,29 103,14 327,14 776,4 182,1 982,2 200
Yoni,112 511,54 620,57 891,83 682,40 543,43 139,28 829,14 077,14 752
SOUTHERN,1 441 308,702 151,739 157,1 157 428,564 143,593 285,283 880,138 008,145 872
BO-SOUTH,575 478,280 569,294 909,380 397,186 095,194 302,195 081,94 474,100 607
Badjia,8 135,3 982,4 153,8 135,3 982,4 153,-,-,-
Bagbo,25 884,12 803,13 081,25 884,12 803,13 081,-,-,-
Bagbwe,20 926,10 444,10 482,20 926,10 444,10 482,-,-,-
Baoma,45 835,22 482,23 353,45 835,22 482,23 353,-,-,-
Bumpe Ngawo,44 279,21 718,22 561,44 279,21 718,22 561,-,-,-
Gbo,5 403,2 676,2 727,5 403,2 676,2 727,-,-,-
Jaiama-Bongor,31 298,15 199,16 099,31 298,15 199,16 099,-,-,-
Kakua,51 074,24 377,26 697,51 074,24 377,26 697,-,-,-
Komboya,15 623,7 692,7 931,15 623,7 692,7 931,-,-,-
Lugbu,25 453,12 509,12 944,22 601,11 112,11 489,2 852,1 397,1 455
Niawa Lenga,13 955,6 789,7 166,13 955,6 789,7 166,-,-,-
Selenga,9 175,4 368,4 807,9 175,4 368,4 807,-,-,-
Tikonko,53 206,26 116,27 090,41 794,20 457,21 337,11 412,5 659,5 753
Valunia,35 558,18 177,17 381,29 110,14 757,14 353,6 448,3 420,3 028
Wunde,15 305,7 239,8 066,15 305,7 239,8 066,-,-,-
Bo City,174 369,83 998,90 371,-,-,-,174 369,83 998,90 371
BONTHE,200 781,99 014,101 767,162 796,80 186,82 610,37 985,18 828,19 157
Bendu Cha,7 168,3 500,3 668,7 168,3 500,3 668,-,-,-
Bum,24 339,11 841,12 498,24 339,11 841,12 498,-,-,-
Dema,7 411,3 749,3 662,7 411,3 749,3 662,-,-,-
Imperi,33 394,17 019,16 375,17 065,8 511,8 554,16 329,8 508,7 821
Jong,33 816,16 511,17 305,22 235,11 116,11 119,11 581,5 395,6 186
Kpanga Kemo,10 438,5 057,5 381,10 438,5 057,5 381,-,-,-
Kwamebai Krim,14 289,6 975,7 314,14 289,6 975,7 314,-,-,-
Nongoba Bullom,20 060,10 009,10 051,20 060,10 009,10 051,-,-,-
Sittia,21 347,10 522,10 825,21 347,10 522,10 825,-,-,-
Sogbini,10 863,5 236,5 627,10 863,5 236,5 627,-,-,-
Yawbeko,7 581,3 670,3 911,7 581,3 670,3 911,-,-,
MOYAMBA,318 588,153 699,164 889,295 891,142 978,152 913,22 697,10 721,11 976
Bagruwa,27 623,13 705,13 918,27 623,13 705,13 918,-,-,-
Bumpeh,37 445,17 826,19 619,37 445,17 826,19 619,-,-,-
Dasse,13 217,6 369,6 848,13 217,6 369,6 848,-,-,-
Fakunya,27 646,13 133,14 513,27 646,13 133,14 513,-,-,-
Kagboro,34 862,16 811,18 051,34 862,16 811,18 051,-,-,-
Kaiyamba,25 749,12 240,13 509,15 500,7 332,8 168,10 249,4 908,5 341
Kamajei,10 165,4 934,5 231,10 165,4 934,5 231,-,-,-
Kongbora,10 328,4 979,5 349,10 328,4 979,5 349,-,-,-
Kori,30 514,14 797,15 717,25 754,12 571,13 183,4 760,2 226,2 534
Kowa,9 752,4 642,5 110,9 752,4 642,5 110,-,-,-
Lower Banta,37 317,18 129,19 188,29 629,14 542,15 087,7 688,3 587,4 101
Ribbi,33 165,15 730,17 435,33 165,15 730,17 435,-,-,-
Timdale,10 292,5 155,5 137,10 292,5 155,5 137,-,-,-
Upper Banta,10 513,5 249,5 264,10 513,5 249,5 264,-,-,-
PUJEHUN,346 461,168 869,177 592,318 344,154 884,163 460,28 117,13 985,14 132
Barri,36 905,17 697,19 208,32 395,15 578,16 817,4 510,2 119,2 391
Gallinas Peri,54 691,26 713,27 978,54 691,26 713,27 978,-,-,-
Kpaka,16 468,7 721,8 747,16 468,7 721,8 747,-,-,-
Kpanga-Kabonde,49 340,23 908,25 432,43 245,21 017,22 228,6 095,2 891,3 204
Makpele,31 080,15 425,15 655,21 958,10 948,11 010,9 122,4 477,4 645
Malen,49 263,25 164,24 099,40 873,20 666,20 207,8 390,4 498,3 892
Mano Sakrim,12 893,6 084,6 809,12 893,6 084,6 809,-,-,-
Panga Krim,8 969,4 296,4 673,8 969,4 296,4 673,-,-,-
Pejeh,13 600,6 576,7 024,13 600,6 576,7 024,-,-,-
Soro Gbema,42 292,20 291,22 001,42 292,20 291,22 001,-,-,-
Sowa,17 136,8 428,8 708,17 136,8 428,8 708,-,-,-
WESTERN,1 500 234,749 558,750 676,43 638,22 235,21 403,1 456 596,727 323,729 273
WESTERN AREA RURAL,444 270,221 351,222 919,43 638,22 235,21 403,400 632,199 116,201 516
Koya,70 423,34 381,36 042,20 584,10 229,10 355,49 839,24 152,25 687
Mountain,30 488,16 014,14 474,1 675,815,860,28 813,15 199,13 614
Waterloo,213 778,104 978,108 800,4 983,2 570,2 413,208 795,102 408,106 387
York Rural,129 581,65 978,63 603,16 396,8 621,7 775,113 185,57 357,55 828
WESTERN AREA URBAN,1 055 964,528 207,527 757,-,-,-,1 055 964,528 207,528 207
Central 1,62 499,32 023,30 476,-,-,-,62 499,32 023,32 023
Central 2,21 413,11 623,9 790,-,-,-,21 413,11 623,11 623
East 1,61 244,30 380,30 864,-,-,-,61 244,30 380,30 380
East 2,89 530,45 336,44 194,-,-,-,89 530,45 336,45 336
East 3,448 572,222 544,226 028,-,-,-,448 572,222 544,222 544
West 1,53 981,26 564,27 417,-,-,-,53 981,26 564,26 564
West 2,130 149,64 657,65 492,-,-,-,130 149,64 657,64 657
West 3,188 576,95 080,93 496,-,-,-,188 576,95 080,95 080
